,mean fractional importance,mean fractional ratio,number of reactions,name
cpd00205_c,0.0033805020377207316,0.4041358369283849,39,metabolite missing from universal
cpd00205_e,0.0033805020377207316,0.4041358369283849,39,metabolite missing from universal
cpd01080_c,0.00329618616028951,0.4049418926779797,32,metabolite missing from universal
cpd00342_c,0.00203188747755408,0.4060250913434882,11,metabolite missing from universal
cpd00918_c,0.00203188747755408,0.4060250913434882,11,metabolite missing from universal
cpd03187_c,0.00037303336187063935,0.4148009454228605,15,metabolite missing from universal
cpd01974_c,0.001050164722747702,0.41663946544266767,4,metabolite missing from universal
cpd00054_c,0.00747321190693514,0.4167948914028046,140,metabolite missing from universal
cpd00145_c,0.00747321190693514,0.4167948914028046,140,metabolite missing from universal
cpd00035_c,0.005580592736637057,0.4171209780181452,129,metabolite missing from universal
cpd00215_c,0.005580592736637057,0.4171209780181452,129,metabolite missing from universal
cpd00419_c,0.005580592736637057,0.4171209780181452,129,metabolite missing from universal
cpd00448_c,0.0010440960678603508,0.4193582646980558,8,metabolite missing from universal
cpd00483_c,0.0011106377023175802,0.42056578818233575,11,metabolite missing from universal
cpd00314_c,0.0008754618432645467,0.4220795147987454,11,metabolite missing from universal
cpd00314_e,0.0008754618432645467,0.4220795147987454,11,metabolite missing from universal
cpd00794_c,0.0008483659389779286,0.4221255884718415,18,metabolite missing from universal
cpd00017_c,0.006776906207646292,0.4221985931414118,126,metabolite missing from universal
cpd00019_c,0.006776906207646292,0.4221985931414118,126,metabolite missing from universal
cpd01589_c,0.006776906207646292,0.4221985931414118,126,metabolite missing from universal
cpd01591_c,0.006776906207646292,0.4221985931414118,126,metabolite missing from universal
cpd15499_c,0.001471513312959403,0.42281179605671204,64,metabolite missing from universal
cpd15500_c,0.001471513312959403,0.42281179605671204,64,metabolite missing from universal
cpd00843_c,0.005447680835681328,0.4231772695737117,19,metabolite missing from universal
cpd00599_c,0.015827903274756066,0.42385647116658093,59,metabolite missing from universal
cpd00453_c,0.004489785804905436,0.4249495661382764,2,metabolite missing from universal
cpd00055_c,0.00481422910455694,0.4255477831208426,214,metabolite missing from universal
cpd04399_c,0.00481422910455694,0.4255477831208426,214,metabolite missing from universal
cpd15073_c,0.00481422910455694,0.4255477831208426,214,metabolite missing from universal
cpd00705_c,0.011657888665403246,0.42885213053705323,77,metabolite missing from universal
cpd02522_c,0.011657888665403246,0.42885213053705323,77,metabolite missing from universal
cpd00137_c,0.0026197107105749413,0.42929922343426496,41,metabolite missing from universal
cpd00353_c,0.0026197107105749413,0.42929922343426496,41,metabolite missing from universal
cpd00146_c,0.00021123798723965458,0.42990264255910987,2,metabolite missing from universal
cpd00894_c,0.017012549256650956,0.4307770999398667,7,metabolite missing from universal
cpd00945_c,0.017012549256650956,0.4307770999398667,7,metabolite missing from universal
