,Stenotrophomonas maltophilia_gapfilled_0,Stenotrophomonas maltophilia_gapfilled_3
rxn05201_c,158.84825093523838,158.84825093523725
rxn02229_c,164.55185676108667,164.5518567610861
rxn00947_c,164.55185676108667,164.5518567610861
rxn08311_c,-2.202600377281078e-12,3.037712552789582e-13
rxn10210_c,164.5518567610859,164.55185676108647
EX_cpd03561_e,164.5518567610859,164.55185676108647
rxn10220_c,8.65431178924325e-14,5.56770609104784e-13
EX_cpd00122_e,164.55185676108619,164.55185676108508
rxn05735_c,164.55185676108619,164.55185676108508
rxn01930_c,164.55185676108619,164.55185676108508
rxn10261_c,164.55185676108619,164.55185676108508
rxn00125_c,164.55185676108619,164.55185676108508
rxn00952_c,164.55185676108619,164.55185676108508
rxn00259_c,164.55185676108619,164.55185676108508
EX_cpd19001_e,164.55185676108619,164.55185676108508
rxn01100_c,141.07525521774468,141.0752552177455
rxn07449_c,164.55185676108596,164.55185676107376
rxn09449_c,164.55185676108607,164.55185676107376
rxn00700_c,164.55185676108607,164.55185676107376
rxn01258_c,164.55185676108607,164.55185676107376
rxn02911_c,164.55185676108607,164.55185676107376
rxn08954_c,-3.627119535080064e-14,7.078700992592902e-13
rxn00113_c,163.57669119646312,163.57669119646312
EX_cpd00314_e,164.55185676108565,164.55185676108678
rxn00550_c,164.55185676108565,164.55185676108678
rxn05453_c,164.55185676108565,164.55185676108678
rxn01465_c,-6.655122524829675e-13,2.3224714289795625e-14
rxn12641_c,164.551856761087,164.55185676108485
rxn05229_c,164.551856761087,164.55185676108485
rxn00131_c,164.551856761087,164.55185676108485
rxn02177_c,164.551856761087,164.55185676108485
rxn03433_c,164.551856761087,164.55185676108485
rxn05231_c,-5.69178616791086e-28,-7.34262483770253e-14
rxn13782_c,-5.69178616791086e-28,-3.158644204146246e-14
rxn05126_c,164.55185676108536,164.55185676108613
rxn02262_c,164.55185676108536,164.55185676108613
rxn03446_c,164.55185676108536,164.55185676108613
rxn02914_c,164.55185676108536,164.55185676108613
rxn10219_c,164.55185676108536,164.55185676108613
rxn00122_c,1.0397518493932764e-13,0.0
rxn00611_c,164.5518567610873,164.5518567610872
rxn01639_c,164.55185676108695,164.5518567610872
rxn01964_c,164.55185676108695,164.5518567610872
rxn04147_c,164.55185676108695,164.5518567610872
rxn03031_c,164.5518567610869,164.55185676108624
rxn05514_c,2.227404004111594e-13,4.615769238989252e-14
rxn05247_c,164.5518567610861,164.55185676108624
rxn02421_c,164.5518567610861,164.55185676108596
EX_cpd00041_e,164.5518567610861,164.55185676108596
rxn08756_c,164.5518567610861,164.55185676108596
rxn12206_c,164.5518567610861,164.55185676108596
rxn01406_c,164.5518567610861,164.55185676108596
rxn00615_c,164.42838360469307,164.42838360469278
rxn02687_c,164.5518567610861,164.55185676108596
rxn02155_c,164.5518567610861,164.55185676108582
rxn05385_c,-2.858019399747807e-13,0.0
rxn04068_c,164.5518567610874,164.55185676108584
rxn00501_c,164.5518567610874,164.55185676108636
EX_cpd01171_e,164.5518567610874,164.55185676108636
rxn02170_c,164.5518567610874,164.55185676108636
rxn03910_c,-2.3636722967159545e-13,1.3293795435932992e-13
rxn06493_c,164.5518567610861,164.5518567610854
rxn03147_c,164.5518567610861,164.55185676108547
rxn05373_c,-2.688306755621112e-13,1.0692186194765392e-13
rxn08550_c,164.55185676108593,164.55185676108636
